Date,EIM IS Equity,AXSB IS Equity,BJFIN IS Equity,RELIANCE IS Equity,ITC IS Equity,MM IS Equity,SBIN IS Equity,HNDL IS Equity,TATA IS Equity,SUNP IS Equity,TTAN IS Equity,HDFCB IS Equity,BPCL IS Equity,CIPLA IS Equity,APNT IS Equity,ONGC IS Equity,JSTL IS Equity,WPRO IS Equity,DRRD IS Equity,HMCL IS Equity,HUVR IS Equity,INFO IS Equity,KMB IS Equity,LT IS Equity,MSIL IS Equity,ADE IS Equity,NTPC IS Equity,IIB IS Equity,APHS IS Equity,HCLT IS Equity,PWGR IS Equity,BAF IS Equity,ICICIBC IS Equity,BHARTI IS Equity,ADSEZ IS Equity,TCS IS Equity,TTMT IS Equity,DIVI IS Equity,UTCEM IS Equity,UPLL IS Equity,TECHM IS Equity,BJAUT IS Equity,BRIT IS Equity,GRASIM IS Equity,TATACONS IS Equity
2012-12-27,275.28,272.86,91.56,368.98,192.27,465.18,238.83,128.1,40.41,372.75,281.8,340.05,114.68,415.1,434.64,172.67,80.61,128.93,1828.95,1869.5,518.2,285.97,324.9,716.82,1482.0,33.6,129.58,414.2,795.0,156.32,63.82,129.94,206.63,287.19,133.8,625.48,305.92,542.33,1966.65,82.33,229.91,2134.2,246.1,524.19,159.65
2012-12-28,280.26,271.91,90.65,379.15,192.93,462.3,237.95,129.4,40.2,369.75,281.15,338.83,117.43,416.4,439.47,177.2,81.38,131.12,1826.55,1896.2,522.1,290.4,325.48,719.98,1500.4,33.82,130.54,415.0,790.25,156.57,63.84,131.43,207.55,287.55,132.85,633.75,306.76,539.28,1971.75,85.9,230.19,2137.5,247.48,524.19,160.45
2012-12-31,290.66,271.31,90.35,378.83,191.2,465.83,238.55,130.5,40.2,368.13,284.35,339.3,118.78,414.25,443.26,178.67,81.21,131.94,1829.75,1900.6,524.85,289.84,325.02,714.29,1490.05,33.72,130.38,417.05,787.35,154.68,64.55,131.38,206.95,285.79,135.0,627.92,309.33,552.2,1986.3,86.8,233.06,2131.15,249.38,528.82,159.95
2013-01-01,292.31,272.54,91.17,379.35,191.5,470.9,242.65,134.15,41.11,369.75,286.9,342.25,118.77,417.45,442.31,178.43,83.11,132.75,1835.75,1897.35,530.6,288.61,324.98,722.18,1514.4,34.29,129.58,423.25,788.2,155.54,64.04,132.64,210.63,290.3,137.8,632.08,313.39,549.13,2022.8,88.27,233.41,2131.9,250.68,533.81,160.8
2013-01-02,285.53,277.37,91.03,382.63,190.27,469.3,245.06,135.0,41.1,370.45,287.8,343.68,122.15,420.45,437.2,183.07,82.73,131.69,1837.7,1905.35,530.5,288.65,328.45,733.13,1557.4,35.46,131.25,433.0,783.25,156.31,63.62,131.18,213.45,289.35,138.45,631.65,314.63,552.9,2035.25,87.8,234.93,2202.25,252.15,532.64,166.65
2013-01-03,286.02,277.99,91.49,388.4,189.03,468.2,247.16,134.4,41.49,366.93,282.75,341.68,122.08,417.85,439.67,186.53,83.11,133.05,1882.3,1887.95,532.35,292.24,327.45,727.49,1543.3,34.88,131.29,434.3,802.05,156.49,64.21,134.71,213.1,295.61,138.3,640.3,314.72,546.85,2024.85,91.2,235.34,2214.9,253.85,530.05,165.85
2013-01-04,282.27,275.79,93.06,388.9,188.27,470.63,248.67,132.55,40.67,367.58,285.45,339.68,124.67,416.15,440.2,189.87,82.76,135.0,1889.35,1887.95,534.7,293.69,325.1,723.56,1545.45,34.39,132.42,430.75,809.2,158.51,64.66,134.77,214.98,294.71,137.5,649.6,312.05,555.15,2041.9,90.6,235.63,2205.6,255.1,532.15,164.15
2013-01-07,284.34,274.57,91.73,386.53,186.03,477.08,246.76,134.4,41.36,372.08,281.65,334.1,128.5,424.35,439.44,192.0,85.48,135.44,1887.6,1897.3,525.4,296.85,324.23,705.84,1584.6,34.72,131.33,431.35,806.05,156.98,64.35,134.57,214.94,294.53,140.05,647.42,309.93,547.35,2040.7,91.5,231.76,2196.9,250.9,531.34,162.75
2013-01-08,279.48,272.06,91.44,383.84,190.47,479.15,249.33,133.0,40.65,377.23,272.15,335.13,126.92,429.5,439.41,193.4,84.55,133.17,1908.15,1881.1,525.5,293.0,326.38,696.4,1574.85,34.44,131.21,433.75,804.0,158.68,65.5,134.45,214.46,297.69,137.45,650.13,310.82,539.1,2019.15,91.73,231.6,2198.45,250.05,530.97,163.75
2013-01-09,276.73,269.93,91.63,384.77,186.33,482.23,252.28,132.05,39.62,380.6,268.0,333.75,128.57,428.4,436.42,194.8,84.37,132.8,1910.9,1847.7,519.3,291.38,324.55,688.76,1569.6,34.21,129.75,434.55,797.45,158.96,65.0,133.23,214.63,300.79,135.15,638.3,323.88,542.67,1962.35,90.67,234.85,2157.9,252.73,527.17,162.45
