Date,MF,RF
05-08-2010,-0.23181998,0.015271593
06-08-2010,-0.048517013,0.015913353
09-08-2010,0.784599578,0.047747656
10-08-2010,-0.518127813,0.015913353
11-08-2010,-0.432755772,0.015913353
12-08-2010,-0.199071687,0.015913353
13-08-2010,0.562728009,0.016340361
16-08-2010,-0.601452597,0.049029093
17-08-2010,-0.101465506,0.016340361
18-08-2010,0.915496641,0.016340361
19-08-2010,0.560933026,0.016340361
20-08-2010,0.038780693,0.016660053
23-08-2010,0.519620672,0.049988485
24-08-2010,-0.593243304,0.016660053
25-08-2010,-1.032349687,0.016660053
26-08-2010,0.21458815,0.016660053
27-08-2010,-0.877709174,0.01644688
30-08-2010,0.128394494,0.049348756
31-08-2010,-0.49050812,0.01644688
01-09-2010,1.697904357,0.01644688
02-09-2010,0.050755955,0.01644688
03-09-2010,0.319198604,0.01612694
06-09-2010,1.424112518,0.048388622
07-09-2010,0.5812312,0.01612694
08-09-2010,0.140814557,0.01612694
09-09-2010,0.254217734,0.016020038
13-09-2010,1.087309091,0.064095552
14-09-2010,0.211808709,0.016020038
15-09-2010,0.652076468,0.016020038
16-09-2010,-0.963292282,0.016020038
17-09-2010,1.283212398,0.016340361
20-09-2010,0.975101239,0.049029093
21-09-2010,-0.026798384,0.016340361
22-09-2010,-0.44166915,0.016340361
23-09-2010,-0.201313231,0.016340361
24-09-2010,0.823772297,0.01644688
27-09-2010,0.417419734,0.049348756
28-09-2010,0.039689541,0.01644688
29-09-2010,-0.815723337,0.01644688
30-09-2010,-0.117280275,0.01644688
01-10-2010,1.886481414,0.016660053
04-10-2010,0.185634969,0.049988485
05-10-2010,0.240847525,0.016660053
06-10-2010,0.903669247,0.016660053
07-10-2010,-0.83169478,0.016660053
08-10-2010,-0.485812705,0.01698066
11-10-2010,0.54683757,0.050950629
12-10-2010,-0.603138782,0.01698066
13-10-2010,1.440795719,0.01698066
14-10-2010,-0.797612967,0.01698066
15-10-2010,-1.494897724,0.017404984
18-10-2010,0.109384234,0.052224042
19-10-2010,-0.41830008,0.017404984
20-10-2010,-0.537559468,0.017404984
21-10-2010,1.52094595,0.017404984
22-10-2010,-0.24338762,0.017938958
25-10-2010,0.478340367,0.053826529
26-10-2010,-0.359293235,0.017938958
27-10-2010,-0.870656466,0.017938958
28-10-2010,-0.511479675,0.017938958
29-10-2010,-0.354630967,0.018151745
01-11-2010,1.007819888,0.054465119
02-11-2010,0.145907562,0.018151745
03-11-2010,0.488557133,0.018151745
04-11-2010,1.29844845,0.017938958
05-11-2010,0.609362244,0.017938958
08-11-2010,-0.407296977,0.053826529
09-11-2010,0.597787341,0.017938958
10-11-2010,-0.034776588,0.017938958
11-11-2010,-1.242325196,0.017938958
12-11-2010,-1.927783427,0.018151745
15-11-2010,-0.020746054,0.054465119
16-11-2010,-2.102092969,0.018151745
18-11-2010,0.080674024,0.036306784
19-11-2010,-1.869164014,0.01804409
22-11-2010,1.344608837,0.054142039
23-11-2010,-1.318049275,0.01804409
24-11-2010,-0.862958027,0.01804409
25-11-2010,-1.855308705,0.01804409
26-11-2010,-1.852208234,0.018151745
29-11-2010,1.101898383,0.054465119
30-11-2010,1.175583829,0.018151745
01-12-2010,1.880538021,0.018151745
02-12-2010,0.714038257,0.018151745
03-12-2010,-0.836364748,0.018364366
06-12-2010,0.093708362,0.055103217
07-12-2010,-0.126180904,0.018364366
08-12-2010,-1.112080252,0.018364366
09-12-2010,-3.017478784,0.018364366
10-12-2010,1.390948202,0.019105972
13-12-2010,1.039729528,0.057328867
14-12-2010,0.893696263,0.019105972
15-12-2010,-0.653726576,0.019105972
16-12-2010,0.478461993,0.019001246
20-12-2010,0.048431575,0.076026648
21-12-2010,0.577403086,0.019001246
22-12-2010,-0.048747966,0.019001246
23-12-2010,-0.269588305,0.019001246
24-12-2010,0.387476343,0.019001246
27-12-2010,-0.292660661,0.057014569
28-12-2010,0.015467989,0.019001246
29-12-2010,0.749861589,0.019001246
30-12-2010,0.527919348,0.019001246
31-12-2010,0.643684544,0.019001246
03-01-2011,0.562129794,0.057014569
04-01-2011,0.204818829,0.019001246
05-01-2011,-0.717903463,0.019001246
06-01-2011,-0.767479911,0.019001246
07-01-2011,-2.380542801,0.018789117
10-01-2011,-2.384081515,0.056377942
11-01-2011,-0.516948413,0.018789117
12-01-2011,1.407051558,0.018789117
13-01-2011,-0.769382366,0.018789117
14-01-2011,-1.302581496,0.018893924
17-01-2011,-0.644510794,0.056692481
18-01-2011,0.909422595,0.018893924
19-01-2011,-0.168843171,0.018893924
20-01-2011,-0.068725445,0.018893924
21-01-2011,-0.233512605,0.019001246
24-01-2011,0.400809797,0.057014569
25-01-2011,-0.443359395,0.019001246
27-01-2011,-1.528711048,0.038006102
28-01-2011,-1.959231453,0.019105972
31-01-2011,-0.167682581,0.057328867
01-02-2011,-1.598960844,0.019105972
02-02-2011,0.418270416,0.019105972
03-02-2011,1.29451983,0.019105972
04-02-2011,-1.692324717,0.019001246
07-02-2011,-0.259684312,0.057014569
08-02-2011,-1.87947381,0.019001246
09-02-2011,-2.576150407,0.019001246
10-02-2011,-0.346808061,0.019001246
11-02-2011,1.359342581,0.018893924
14-02-2011,2.648517978,0.056692481
15-02-2011,0.30388608,0.018893924
16-02-2011,0.357013806,0.018893924
17-02-2011,0.56124121,0.018893924
18-02-2011,-1.619211266,0.018893924
21-02-2011,0.776490392,0.056692481
22-02-2011,-0.628830068,0.018893924
23-02-2011,-0.431084639,0.018893924
24-02-2011,-2.478041152,0.018893924
25-02-2011,0.097692879,0.018893924
28-02-2011,0.344293764,0.056692481
01-03-2011,2.849487066,0.018893924
03-03-2011,-0.079287328,0.037791417
04-03-2011,-0.067545005,0.018893924
07-03-2011,-1.185057121,0.056692481
08-03-2011,0.979600355,0.018893924
09-03-2011,0.297802241,0.018893924
10-03-2011,-0.223454009,0.018893924
11-03-2011,-0.848240587,0.018893924
14-03-2011,1.105395168,0.056692481
15-03-2011,-1.490957368,0.018893924
16-03-2011,1.039237393,0.018893924
17-03-2011,-0.747491587,0.018893924
18-03-2011,-0.851980688,0.019105972
21-03-2011,-0.382676597,0.057328867
22-03-2011,0.73883083,0.019105972
23-03-2011,0.795645447,0.019105972
24-03-2011,0.675010669,0.019105972
25-03-2011,1.534819242,0.019317856
28-03-2011,0.231601736,0.057964765
29-03-2011,0.753956349,0.019317856
30-03-2011,0.874146269,0.019317856
31-03-2011,0.997479974,0.019317856
01-04-2011,0.605503737,0.019317856
04-04-2011,1.387255926,0.057964765
05-04-2011,0.56839826,0.019317856
06-04-2011,0.051662748,0.019317856
07-04-2011,0.063550136,0.019317856
08-04-2011,-0.852663292,0.018893924
11-04-2011,-0.972407539,0.056692481
13-04-2011,1.55170312,0.037791417
15-04-2011,-0.92223901,0.03789876
18-04-2011,-1.327825876,0.057014569
19-04-2011,0.177586215,0.019001246
20-04-2011,1.675016861,0.019001246
21-04-2011,0.187605907,0.019636651
25-04-2011,-0.129463395,0.078569744
26-04-2011,-0.053487234,0.019636651
27-04-2011,-0.244447094,0.019636651
28-04-2011,-0.734139869,0.019636651
29-04-2011,-0.550785598,0.019850674
02-05-2011,-0.645851957,0.059563843
03-05-2011,-1.89829197,0.019850674
04-05-2011,-0.219282917,0.019850674
05-05-2011,-1.197072789,0.019850674
06-05-2011,0.832175237,0.020804102
09-05-2011,0.095266401,0.06242529
10-05-2011,0.11151458,0.020804102
11-05-2011,0.407293774,0.020804102
12-05-2011,-1.034435138,0.020804102
13-05-2011,0.862201894,0.021225097
16-05-2011,-0.745308252,0.063688809
17-05-2011,-0.958971701,0.021225097
18-05-2011,-0.478278076,0.021225097
19-05-2011,-0.09289547,0.021225097
20-05-2011,0.743171951,0.021331512
23-05-2011,-1.55428158,0.064008189
24-05-2011,-0.071378942,0.021331512
25-05-2011,-0.581528274,0.021331512
26-05-2011,0.908252802,0.021331512
27-05-2011,1.058417004,0.021437886
30-05-2011,0.211504508,0.064327446
31-05-2011,1.354753978,0.021437886
01-06-2011,0.669154416,0.021437886
02-06-2011,-0.642761246,0.021437886
03-06-2011,-0.506613357,0.021544218
06-06-2011,-0.13894953,0.064646581
07-06-2011,0.53508117,0.021544218
08-06-2011,-0.131027573,0.021544218
09-06-2011,-0.039794742,0.021544218
10-06-2011,-0.445411844,0.02165051
13-06-2011,0.138334948,0.064965592
14-06-2011,0.354760665,0.02165051
15-06-2011,-0.792232326,0.02165051
16-06-2011,-0.830361466,0.02165051
17-06-2011,-0.733548771,0.02175423
20-06-2011,-2.544961798,0.06527689
21-06-2011,0.131527522,0.02175423
22-06-2011,-0.345999283,0.02175423
23-06-2011,0.403870489,0.02175423
24-06-2011,2.340583348,0.021544218
27-06-2011,0.86920484,0.064646581
28-06-2011,0.314198848,0.021544218
29-06-2011,0.694960553,0.021544218
30-06-2011,0.348794241,0.021544218
01-07-2011,0.219403219,0.021544218
04-07-2011,0.429259633,0.064646581
05-07-2011,-0.475152722,0.021544218
06-07-2011,0.010806283,0.021544218
07-07-2011,1.508922222,0.021544218
08-07-2011,-0.918966843,0.021544218
11-07-2011,-0.528574444,0.064646581
12-07-2011,-1.161579923,0.021544218
13-07-2011,1.076591953,0.021544218
14-07-2011,0.075366371,0.021544218
15-07-2011,-0.14530784,0.021437886
18-07-2011,-0.278152785,0.064327446
19-07-2011,0.553178809,0.021437886
20-07-2011,-0.888703272,0.021437886
21-07-2011,-0.384340241,0.021437886
22-07-2011,1.184232674,0.021332019
25-07-2011,0.708814146,0.064009709
26-07-2011,-1.221940085,0.021332019
27-07-2011,-0.248624077,0.021332019
28-07-2011,-0.920685258,0.021332019
29-07-2011,-0.964132952,0.022071727
01-08-2011,0.132901938,0.066229796
02-08-2011,-0.731243218,0.022071727
03-08-2011,-0.588803135,0.022071727
04-08-2011,-1.037798519,0.022071727
05-08-2011,-2.183999523,0.022071727
08-08-2011,-1.693194227,0.066229796
09-08-2011,-1.241849608,0.022071727
